Location,Status,Prosto,Na voljo,Datum
Linhartova,Prosto,114,50,2025-03-18 23:32
Metelkova ulica,Prosto,28,89,2025-03-18 23:32
Mirje,Prosto,83,107,2025-03-18 23:32
P+R Barje,Odprto,,,2025-03-18 23:32
P+R Dolgi Most,Odprto,,,2025-03-18 23:32
P+R Studenec,Odprto,,,2025-03-18 23:32
PH Kolezija,Prosto,71,80,2025-03-18 23:32
Pokopališče Polje,Prosto,32,39,2025-03-18 23:32
Povšetova ulica,Prosto,60,81,2025-03-18 23:32
Sanatorij Emona,Prosto,20,25,2025-03-18 23:32
Slovenčeva ulica,Zasedeno,0,128,2025-03-18 23:32
Tivoli I.,Zasedeno,0,351,2025-03-18 23:32
Tivoli II.,Prosto,97,159,2025-03-18 23:32
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-18 23:32
Trg prekomorskih brigad,Prosto,44,61,2025-03-18 23:32
Štembalova ulica,Zasedeno,/,155,2025-03-18 23:32
Žale I.,Prosto,78,125,2025-03-18 23:32
Žale II.,Prosto,55,80,2025-03-18 23:32
Žale III.,Prosto,54,83,2025-03-18 23:32
Žale IV.,Prosto,78,78,2025-03-18 23:32
Žale V.,Prosto,284,100,2025-03-18 23:32
P+R Ježica,Odprto,,,2025-03-18 23:32
P+R Stanežiče,Odprto,,,2025-03-18 23:32
ŠRC Stožice,Prosto,/,509,2025-03-18 23:32
Tacen,Prosto,/,/,2025-03-18 23:32
Bratislavska,Prosto,/,/,2025-03-18 23:32
BS4,Prosto,55,100,2025-03-18 23:32
PH Rog,Prosto,33,80,2025-03-18 23:32
P+R Letališka,Odprto,,,2025-03-18 23:32
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-18 23:32
Bežigrad,Prosto,47,64,2025-03-18 23:48
Dolenjska cesta (Strelišče),Prosto,75,67,2025-03-18 23:48
Gosarjeva ulica,Prosto,45,190,2025-03-18 23:48
Gospodarsko razstavišče,Prosto,432,400,2025-03-18 23:48
Komanova ulica,Zasedeno,/,55,2025-03-18 23:48
PH Kongresni trg,Prosto,263,720,2025-03-18 23:48
Kozolec,Prosto,150,394,2025-03-18 23:48
Kranjčeva ulica,Prosto,108,117,2025-03-18 23:48
Linhartova,Prosto,114,50,2025-03-18 23:48
Metelkova ulica,Prosto,28,89,2025-03-18 23:48
Mirje,Prosto,83,107,2025-03-18 23:48
P+R Barje,Odprto,,,2025-03-18 23:48
P+R Dolgi Most,Odprto,,,2025-03-18 23:48
P+R Studenec,Odprto,,,2025-03-18 23:48
PH Kolezija,Prosto,71,80,2025-03-18 23:48
Pokopališče Polje,Prosto,32,39,2025-03-18 23:48
Povšetova ulica,Prosto,60,81,2025-03-18 23:48
Sanatorij Emona,Prosto,20,25,2025-03-18 23:48
Slovenčeva ulica,Zasedeno,0,128,2025-03-18 23:48
Tivoli I.,Zasedeno,0,351,2025-03-18 23:48
Tivoli II.,Prosto,101,159,2025-03-18 23:48
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-18 23:48
Trg prekomorskih brigad,Prosto,45,61,2025-03-18 23:48
Štembalova ulica,Zasedeno,/,155,2025-03-18 23:48
Žale I.,Prosto,78,125,2025-03-18 23:48
Žale II.,Prosto,55,80,2025-03-18 23:48
Žale III.,Prosto,54,83,2025-03-18 23:48
Žale IV.,Prosto,78,78,2025-03-18 23:48
Žale V.,Prosto,284,100,2025-03-18 23:48
P+R Ježica,Odprto,,,2025-03-18 23:48
P+R Stanežiče,Odprto,,,2025-03-18 23:48
ŠRC Stožice,Prosto,/,509,2025-03-18 23:48
Tacen,Prosto,/,/,2025-03-18 23:48
Bratislavska,Prosto,/,/,2025-03-18 23:48
BS4,Prosto,55,100,2025-03-18 23:48
PH Rog,Prosto,34,80,2025-03-18 23:48
P+R Letališka,Odprto,,,2025-03-18 23:48
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-18 23:48
Bežigrad,Prosto,47,64,2025-03-19 00:02
Dolenjska cesta (Strelišče),Prosto,75,67,2025-03-19 00:02
Gosarjeva ulica,Prosto,46,190,2025-03-19 00:02
Gospodarsko razstavišče,Prosto,433,400,2025-03-19 00:02
Komanova ulica,Zasedeno,/,55,2025-03-19 00:02
PH Kongresni trg,Prosto,262,720,2025-03-19 00:02
Kozolec,Prosto,151,394,2025-03-19 00:02
Kranjčeva ulica,Prosto,108,117,2025-03-19 00:02
Linhartova,Prosto,114,50,2025-03-19 00:02
Metelkova ulica,Prosto,28,89,2025-03-19 00:02
Mirje,Prosto,83,107,2025-03-19 00:02
P+R Barje,Odprto,,,2025-03-19 00:02
P+R Dolgi Most,Odprto,,,2025-03-19 00:02
P+R Studenec,Odprto,,,2025-03-19 00:02
PH Kolezija,Prosto,71,80,2025-03-19 00:02
Pokopališče Polje,Prosto,31,39,2025-03-19 00:02
Povšetova ulica,Prosto,60,81,2025-03-19 00:02
Sanatorij Emona,Prosto,20,25,2025-03-19 00:02
Slovenčeva ulica,Zasedeno,0,128,2025-03-19 00:02
Tivoli I.,Zasedeno,0,351,2025-03-19 00:02
Tivoli II.,Prosto,104,159,2025-03-19 00:02
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-19 00:02
Trg prekomorskih brigad,Prosto,43,61,2025-03-19 00:02
Štembalova ulica,Zasedeno,/,155,2025-03-19 00:02
Žale I.,Prosto,78,125,2025-03-19 00:02
Žale II.,Prosto,54,80,2025-03-19 00:02
Žale III.,Prosto,54,83,2025-03-19 00:02
Žale IV.,Prosto,78,78,2025-03-19 00:02
Žale V.,Prosto,284,100,2025-03-19 00:02
P+R Ježica,Odprto,,,2025-03-19 00:02
P+R Stanežiče,Odprto,,,2025-03-19 00:02
ŠRC Stožice,Prosto,/,509,2025-03-19 00:02
Tacen,Prosto,/,/,2025-03-19 00:02
Bratislavska,Prosto,/,/,2025-03-19 00:02
BS4,Prosto,55,100,2025-03-19 00:02
PH Rog,Prosto,34,80,2025-03-19 00:02
P+R Letališka,Odprto,,,2025-03-19 00:02
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-19 00:02
Bežigrad,Prosto,47,64,2025-03-19 00:18
Dolenjska cesta (Strelišče),Prosto,77,67,2025-03-19 00:18
Gosarjeva ulica,Prosto,47,190,2025-03-19 00:18
Gospodarsko razstavišče,Prosto,435,400,2025-03-19 00:18
Komanova ulica,Zasedeno,/,55,2025-03-19 00:18
PH Kongresni trg,Prosto,266,720,2025-03-19 00:18
Kozolec,Prosto,154,394,2025-03-19 00:18
Kranjčeva ulica,Prosto,108,117,2025-03-19 00:18
Linhartova,Prosto,114,50,2025-03-19 00:18
Metelkova ulica,Prosto,28,89,2025-03-19 00:18
Mirje,Prosto,83,107,2025-03-19 00:18
P+R Barje,Odprto,,,2025-03-19 00:18
P+R Dolgi Most,Odprto,,,2025-03-19 00:18
P+R Studenec,Odprto,,,2025-03-19 00:18
PH Kolezija,Prosto,71,80,2025-03-19 00:18
Pokopališče Polje,Prosto,31,39,2025-03-19 00:18
Povšetova ulica,Prosto,60,81,2025-03-19 00:18
Sanatorij Emona,Prosto,20,25,2025-03-19 00:18
Slovenčeva ulica,Zasedeno,0,128,2025-03-19 00:18
Tivoli I.,Prosto,345,351,2025-03-19 00:18
Tivoli II.,Prosto,172,159,2025-03-19 00:18
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-19 00:18
Trg prekomorskih brigad,Prosto,44,61,2025-03-19 00:18
Štembalova ulica,Zasedeno,/,155,2025-03-19 00:18
Žale I.,Prosto,78,125,2025-03-19 00:18
Žale II.,Prosto,54,80,2025-03-19 00:18
Žale III.,Prosto,54,83,2025-03-19 00:18
Žale IV.,Prosto,78,78,2025-03-19 00:18
Žale V.,Prosto,284,100,2025-03-19 00:18
P+R Ježica,Odprto,,,2025-03-19 00:18
P+R Stanežiče,Odprto,,,2025-03-19 00:18
ŠRC Stožice,Prosto,/,509,2025-03-19 00:18
Tacen,Prosto,/,/,2025-03-19 00:18
Bratislavska,Prosto,/,/,2025-03-19 00:18
BS4,Prosto,55,100,2025-03-19 00:18
PH Rog,Prosto,35,80,2025-03-19 00:18
P+R Letališka,Odprto,,,2025-03-19 00:18
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-19 00:18
Bežigrad,Prosto,47,64,2025-03-19 00:32
Dolenjska cesta (Strelišče),Prosto,77,67,2025-03-19 00:32
Gosarjeva ulica,Prosto,46,190,2025-03-19 00:32
Gospodarsko razstavišče,Prosto,436,400,2025-03-19 00:32
Komanova ulica,Zasedeno,/,55,2025-03-19 00:32
PH Kongresni trg,Prosto,268,720,2025-03-19 00:32
Kozolec,Prosto,155,394,2025-03-19 00:32
Kranjčeva ulica,Prosto,108,117,2025-03-19 00:32
Linhartova,Prosto,114,50,2025-03-19 00:32
Metelkova ulica,Prosto,28,89,2025-03-19 00:32
Mirje,Prosto,83,107,2025-03-19 00:32
P+R Barje,Odprto,,,2025-03-19 00:32
P+R Dolgi Most,Odprto,,,2025-03-19 00:32
P+R Studenec,Odprto,,,2025-03-19 00:32
PH Kolezija,Prosto,71,80,2025-03-19 00:32
Pokopališče Polje,Prosto,31,39,2025-03-19 00:32
Povšetova ulica,Prosto,60,81,2025-03-19 00:32
Sanatorij Emona,Prosto,20,25,2025-03-19 00:32
Slovenčeva ulica,Zasedeno,0,128,2025-03-19 00:32
Tivoli I.,Prosto,346,351,2025-03-19 00:32
Tivoli II.,Prosto,172,159,2025-03-19 00:32
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-19 00:32
Trg prekomorskih brigad,Prosto,44,61,2025-03-19 00:32
Štembalova ulica,Zasedeno,/,155,2025-03-19 00:32
Žale I.,Prosto,78,125,2025-03-19 00:32
Žale II.,Prosto,54,80,2025-03-19 00:32
Žale III.,Prosto,54,83,2025-03-19 00:32
Žale IV.,Prosto,78,78,2025-03-19 00:32
Žale V.,Prosto,284,100,2025-03-19 00:32
P+R Ježica,Odprto,,,2025-03-19 00:32
P+R Stanežiče,Odprto,,,2025-03-19 00:32
ŠRC Stožice,Prosto,/,509,2025-03-19 00:32
Tacen,Prosto,/,/,2025-03-19 00:32
Bratislavska,Prosto,/,/,2025-03-19 00:32
BS4,Prosto,55,100,2025-03-19 00:32
PH Rog,Prosto,35,80,2025-03-19 00:32
P+R Letališka,Odprto,,,2025-03-19 00:32
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-19 00:32
Bežigrad,Prosto,47,64,2025-03-19 00:48
Dolenjska cesta (Strelišče),Prosto,77,67,2025-03-19 00:48
Gosarjeva ulica,Prosto,46,190,2025-03-19 00:48
Gospodarsko razstavišče,Prosto,439,400,2025-03-19 00:48
Komanova ulica,Zasedeno,/,55,2025-03-19 00:48
PH Kongresni trg,Prosto,266,720,2025-03-19 00:48
Kozolec,Prosto,155,394,2025-03-19 00:48
Kranjčeva ulica,Prosto,108,117,2025-03-19 00:48
Linhartova,Prosto,114,50,2025-03-19 00:48
Metelkova ulica,Prosto,28,89,2025-03-19 00:48
Mirje,Prosto,83,107,2025-03-19 00:48
P+R Barje,Odprto,,,2025-03-19 00:48
P+R Dolgi Most,Odprto,,,2025-03-19 00:48
P+R Studenec,Odprto,,,2025-03-19 00:48
PH Kolezija,Prosto,71,80,2025-03-19 00:48
Pokopališče Polje,Prosto,31,39,2025-03-19 00:48
Povšetova ulica,Prosto,60,81,2025-03-19 00:48
Sanatorij Emona,Prosto,20,25,2025-03-19 00:48
Slovenčeva ulica,Zasedeno,0,128,2025-03-19 00:48
Tivoli I.,Prosto,348,351,2025-03-19 00:48
Tivoli II.,Prosto,172,159,2025-03-19 00:48
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-19 00:48
Trg prekomorskih brigad,Prosto,44,61,2025-03-19 00:48
Štembalova ulica,Zasedeno,/,155,2025-03-19 00:48
Žale I.,Prosto,78,125,2025-03-19 00:48
Žale II.,Prosto,54,80,2025-03-19 00:48
Žale III.,Prosto,54,83,2025-03-19 00:48
Žale IV.,Prosto,78,78,2025-03-19 00:48
Žale V.,Prosto,284,100,2025-03-19 00:48
P+R Ježica,Odprto,,,2025-03-19 00:48
P+R Stanežiče,Odprto,,,2025-03-19 00:48
ŠRC Stožice,Prosto,/,509,2025-03-19 00:48
Tacen,Prosto,/,/,2025-03-19 00:48
Bratislavska,Prosto,/,/,2025-03-19 00:48
BS4,Prosto,55,100,2025-03-19 00:48
PH Rog,Prosto,35,80,2025-03-19 00:48
P+R Letališka,Odprto,,,2025-03-19 00:48
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-19 00:48
Bežigrad,Prosto,47,64,2025-03-19 01:02
Dolenjska cesta (Strelišče),Prosto,77,67,2025-03-19 01:02
Gosarjeva ulica,Prosto,46,190,2025-03-19 01:02
Gospodarsko razstavišče,Prosto,439,400,2025-03-19 01:02
Komanova ulica,Zasedeno,/,55,2025-03-19 01:02
PH Kongresni trg,Prosto,266,720,2025-03-19 01:02
Kozolec,Prosto,155,394,2025-03-19 01:02
Kranjčeva ulica,Prosto,108,117,2025-03-19 01:02
Linhartova,Prosto,114,50,2025-03-19 01:02
Metelkova ulica,Prosto,28,89,2025-03-19 01:02
Mirje,Prosto,83,107,2025-03-19 01:02
P+R Barje,Odprto,,,2025-03-19 01:02
P+R Dolgi Most,Odprto,,,2025-03-19 01:02
P+R Studenec,Odprto,,,2025-03-19 01:02
PH Kolezija,Prosto,71,80,2025-03-19 01:02
Pokopališče Polje,Prosto,31,39,2025-03-19 01:02
Povšetova ulica,Prosto,60,81,2025-03-19 01:02
Sanatorij Emona,Prosto,20,25,2025-03-19 01:02
Slovenčeva ulica,Zasedeno,0,128,2025-03-19 01:02
Tivoli I.,Prosto,349,351,2025-03-19 01:02
Tivoli II.,Prosto,173,159,2025-03-19 01:02
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-19 01:02
Trg prekomorskih brigad,Prosto,44,61,2025-03-19 01:02
Štembalova ulica,Zasedeno,/,155,2025-03-19 01:02
Žale I.,Prosto,78,125,2025-03-19 01:02
Žale II.,Prosto,54,80,2025-03-19 01:02
Žale III.,Prosto,54,83,2025-03-19 01:02
Žale IV.,Prosto,78,78,2025-03-19 01:02
Žale V.,Prosto,284,100,2025-03-19 01:02
P+R Ježica,Odprto,,,2025-03-19 01:02
P+R Stanežiče,Odprto,,,2025-03-19 01:02
ŠRC Stožice,Prosto,/,509,2025-03-19 01:02
Tacen,Prosto,/,/,2025-03-19 01:02
Bratislavska,Prosto,/,/,2025-03-19 01:02
BS4,Prosto,55,100,2025-03-19 01:02
PH Rog,Prosto,35,80,2025-03-19 01:02
P+R Letališka,Odprto,,,2025-03-19 01:02
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-19 01:02
Bežigrad,Prosto,47,64,2025-03-19 01:18
Dolenjska cesta (Strelišče),Prosto,77,67,2025-03-19 01:18
Gosarjeva ulica,Prosto,46,190,2025-03-19 01:18
Gospodarsko razstavišče,Prosto,440,400,2025-03-19 01:18
Komanova ulica,Zasedeno,/,55,2025-03-19 01:18
PH Kongresni trg,Prosto,266,720,2025-03-19 01:18
Kozolec,Prosto,155,394,2025-03-19 01:18
Kranjčeva ulica,Prosto,108,117,2025-03-19 01:18
Linhartova,Prosto,114,50,2025-03-19 01:18
Metelkova ulica,Prosto,28,89,2025-03-19 01:18
Mirje,Prosto,83,107,2025-03-19 01:18
P+R Barje,Odprto,,,2025-03-19 01:18
P+R Dolgi Most,Odprto,,,2025-03-19 01:18
P+R Studenec,Odprto,,,2025-03-19 01:18
PH Kolezija,Prosto,71,80,2025-03-19 01:18
Pokopališče Polje,Prosto,31,39,2025-03-19 01:18
Povšetova ulica,Prosto,59,81,2025-03-19 01:18
Sanatorij Emona,Prosto,20,25,2025-03-19 01:18
Slovenčeva ulica,Zasedeno,0,128,2025-03-19 01:18
Tivoli I.,Prosto,350,351,2025-03-19 01:18
Tivoli II.,Prosto,173,159,2025-03-19 01:18
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-19 01:18
Trg prekomorskih brigad,Prosto,44,61,2025-03-19 01:18
Štembalova ulica,Zasedeno,/,155,2025-03-19 01:18
Žale I.,Prosto,78,125,2025-03-19 01:18
Žale II.,Prosto,54,80,2025-03-19 01:18
Žale III.,Prosto,54,83,2025-03-19 01:18
Žale IV.,Prosto,78,78,2025-03-19 01:18
Žale V.,Prosto,284,100,2025-03-19 01:18
P+R Ježica,Odprto,,,2025-03-19 01:18
P+R Stanežiče,Odprto,,,2025-03-19 01:18
ŠRC Stožice,Prosto,/,509,2025-03-19 01:18
Tacen,Prosto,/,/,2025-03-19 01:18
Bratislavska,Prosto,/,/,2025-03-19 01:18
BS4,Prosto,55,100,2025-03-19 01:18
PH Rog,Prosto,35,80,2025-03-19 01:18
P+R Letališka,Odprto,,,2025-03-19 01:18
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-19 01:18
Bežigrad,Prosto,47,64,2025-03-19 01:32
Dolenjska cesta (Strelišče),Prosto,77,67,2025-03-19 01:32
Gosarjeva ulica,Prosto,46,190,2025-03-19 01:32
Gospodarsko razstavišče,Prosto,443,400,2025-03-19 01:32
Komanova ulica,Zasedeno,/,55,2025-03-19 01:32
PH Kongresni trg,Prosto,266,720,2025-03-19 01:32
Kozolec,Prosto,155,394,2025-03-19 01:32
Kranjčeva ulica,Prosto,108,117,2025-03-19 01:32
Linhartova,Prosto,114,50,2025-03-19 01:32
Metelkova ulica,Prosto,28,89,2025-03-19 01:32
Mirje,Prosto,83,107,2025-03-19 01:32
P+R Barje,Odprto,,,2025-03-19 01:32
P+R Dolgi Most,Odprto,,,2025-03-19 01:32
P+R Studenec,Odprto,,,2025-03-19 01:32
PH Kolezija,Prosto,71,80,2025-03-19 01:32
Pokopališče Polje,Prosto,30,39,2025-03-19 01:32
Povšetova ulica,Prosto,59,81,2025-03-19 01:32
Sanatorij Emona,Prosto,20,25,2025-03-19 01:32
Slovenčeva ulica,Zasedeno,0,128,2025-03-19 01:32
Tivoli I.,Prosto,350,351,2025-03-19 01:32
Tivoli II.,Prosto,173,159,2025-03-19 01:32
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-19 01:32
Trg prekomorskih brigad,Prosto,44,61,2025-03-19 01:32
Štembalova ulica,Zasedeno,/,155,2025-03-19 01:32
Žale I.,Prosto,78,125,2025-03-19 01:32
Žale II.,Prosto,53,80,2025-03-19 01:32
Žale III.,Prosto,54,83,2025-03-19 01:32
Žale IV.,Prosto,78,78,2025-03-19 01:32
Žale V.,Prosto,284,100,2025-03-19 01:32
P+R Ježica,Odprto,,,2025-03-19 01:32
P+R Stanežiče,Odprto,,,2025-03-19 01:32
ŠRC Stožice,Prosto,/,509,2025-03-19 01:32
Tacen,Prosto,/,/,2025-03-19 01:32
Bratislavska,Prosto,/,/,2025-03-19 01:32
BS4,Prosto,55,100,2025-03-19 01:32
PH Rog,Prosto,35,80,2025-03-19 01:32
P+R Letališka,Odprto,,,2025-03-19 01:32
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-19 01:32
Bežigrad,Prosto,47,64,2025-03-19 01:48
Dolenjska cesta (Strelišče),Prosto,77,67,2025-03-19 01:48
Gosarjeva ulica,Prosto,46,190,2025-03-19 01:48
Gospodarsko razstavišče,Prosto,444,400,2025-03-19 01:48
Komanova ulica,Zasedeno,/,55,2025-03-19 01:48
PH Kongresni trg,Prosto,267,720,2025-03-19 01:48
Kozolec,Prosto,155,394,2025-03-19 01:48
Kranjčeva ulica,Prosto,108,117,2025-03-19 01:48
Linhartova,Prosto,114,50,2025-03-19 01:48
Metelkova ulica,Prosto,28,89,2025-03-19 01:48
Mirje,Prosto,83,107,2025-03-19 01:48
P+R Barje,Odprto,,,2025-03-19 01:48
P+R Dolgi Most,Odprto,,,2025-03-19 01:48
P+R Studenec,Odprto,,,2025-03-19 01:48
PH Kolezija,Prosto,71,80,2025-03-19 01:48
Pokopališče Polje,Prosto,30,39,2025-03-19 01:48
Povšetova ulica,Prosto,59,81,2025-03-19 01:48
Sanatorij Emona,Prosto,20,25,2025-03-19 01:48
Slovenčeva ulica,Zasedeno,0,128,2025-03-19 01:48
Tivoli I.,Prosto,350,351,2025-03-19 01:48
Tivoli II.,Prosto,173,159,2025-03-19 01:48
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-19 01:48
Trg prekomorskih brigad,Prosto,44,61,2025-03-19 01:48
Štembalova ulica,Zasedeno,/,155,2025-03-19 01:48
Žale I.,Prosto,78,125,2025-03-19 01:48
Žale II.,Prosto,53,80,2025-03-19 01:48
Žale III.,Prosto,54,83,2025-03-19 01:48
Žale IV.,Prosto,78,78,2025-03-19 01:48
Žale V.,Prosto,284,100,2025-03-19 01:48
P+R Ježica,Odprto,,,2025-03-19 01:48
P+R Stanežiče,Odprto,,,2025-03-19 01:48
ŠRC Stožice,Prosto,/,509,2025-03-19 01:48
Tacen,Prosto,/,/,2025-03-19 01:48
Bratislavska,Prosto,/,/,2025-03-19 01:48
BS4,Prosto,55,100,2025-03-19 01:48
PH Rog,Prosto,35,80,2025-03-19 01:48
P+R Letališka,Odprto,,,2025-03-19 01:48
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-19 01:48
Bežigrad,Prosto,47,64,2025-03-19 02:02
Dolenjska cesta (Strelišče),Prosto,77,67,2025-03-19 02:02
Gosarjeva ulica,Prosto,46,190,2025-03-19 02:02
Gospodarsko razstavišče,Prosto,446,400,2025-03-19 02:02
Komanova ulica,Zasedeno,/,55,2025-03-19 02:02
PH Kongresni trg,Prosto,267,720,2025-03-19 02:02
Kozolec,Prosto,155,394,2025-03-19 02:02
Kranjčeva ulica,Prosto,108,117,2025-03-19 02:02
Linhartova,Prosto,114,50,2025-03-19 02:02
Metelkova ulica,Prosto,28,89,2025-03-19 02:02
Mirje,Prosto,83,107,2025-03-19 02:02
P+R Barje,Odprto,,,2025-03-19 02:02
P+R Dolgi Most,Odprto,,,2025-03-19 02:02
P+R Studenec,Odprto,,,2025-03-19 02:02
PH Kolezija,Prosto,71,80,2025-03-19 02:02
Pokopališče Polje,Prosto,30,39,2025-03-19 02:02
Povšetova ulica,Prosto,59,81,2025-03-19 02:02
Sanatorij Emona,Prosto,20,25,2025-03-19 02:02
Slovenčeva ulica,Zasedeno,0,128,2025-03-19 02:02
Tivoli I.,Prosto,350,351,2025-03-19 02:02
Tivoli II.,Prosto,173,159,2025-03-19 02:02
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-19 02:02
Trg prekomorskih brigad,Prosto,44,61,2025-03-19 02:02
Štembalova ulica,Zasedeno,/,155,2025-03-19 02:02
Žale I.,Prosto,78,125,2025-03-19 02:02
Žale II.,Prosto,53,80,2025-03-19 02:02
Žale III.,Prosto,54,83,2025-03-19 02:02
Žale IV.,Prosto,78,78,2025-03-19 02:02
Žale V.,Prosto,284,100,2025-03-19 02:02
P+R Ježica,Odprto,,,2025-03-19 02:02
P+R Stanežiče,Odprto,,,2025-03-19 02:02
ŠRC Stožice,Prosto,/,509,2025-03-19 02:02
Tacen,Prosto,/,/,2025-03-19 02:02
Bratislavska,Prosto,/,/,2025-03-19 02:02
BS4,Prosto,55,100,2025-03-19 02:02
PH Rog,Prosto,35,80,2025-03-19 02:02
P+R Letališka,Odprto,,,2025-03-19 02:02
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-19 02:02
Bežigrad,Prosto,47,64,2025-03-19 02:18
Dolenjska cesta (Strelišče),Prosto,77,67,2025-03-19 02:18
Gosarjeva ulica,Prosto,46,190,2025-03-19 02:18
Gospodarsko razstavišče,Prosto,446,400,2025-03-19 02:18
Komanova ulica,Zasedeno,/,55,2025-03-19 02:18
PH Kongresni trg,Prosto,267,720,2025-03-19 02:18
Kozolec,Prosto,155,394,2025-03-19 02:18
Kranjčeva ulica,Prosto,108,117,2025-03-19 02:18
Linhartova,Prosto,114,50,2025-03-19 02:18
Metelkova ulica,Prosto,28,89,2025-03-19 02:18
Mirje,Prosto,83,107,2025-03-19 02:18
P+R Barje,Odprto,,,2025-03-19 02:18
P+R Dolgi Most,Odprto,,,2025-03-19 02:18
P+R Studenec,Odprto,,,2025-03-19 02:18
PH Kolezija,Prosto,71,80,2025-03-19 02:18
Pokopališče Polje,Prosto,30,39,2025-03-19 02:18
Povšetova ulica,Prosto,59,81,2025-03-19 02:18
Sanatorij Emona,Prosto,20,25,2025-03-19 02:18
Slovenčeva ulica,Zasedeno,0,128,2025-03-19 02:18
Tivoli I.,Prosto,350,351,2025-03-19 02:18
Tivoli II.,Prosto,173,159,2025-03-19 02:18
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-19 02:18
Trg prekomorskih brigad,Prosto,44,61,2025-03-19 02:18
Štembalova ulica,Zasedeno,/,155,2025-03-19 02:18
Žale I.,Prosto,78,125,2025-03-19 02:18
Žale II.,Prosto,53,80,2025-03-19 02:18
Žale III.,Prosto,54,83,2025-03-19 02:18
Žale IV.,Prosto,78,78,2025-03-19 02:18
Žale V.,Prosto,284,100,2025-03-19 02:18
P+R Ježica,Odprto,,,2025-03-19 02:18
P+R Stanežiče,Odprto,,,2025-03-19 02:18
ŠRC Stožice,Prosto,/,509,2025-03-19 02:18
Tacen,Prosto,/,/,2025-03-19 02:18
Bratislavska,Prosto,/,/,2025-03-19 02:18
BS4,Prosto,55,100,2025-03-19 02:18
PH Rog,Prosto,35,80,2025-03-19 02:18
P+R Letališka,Odprto,,,2025-03-19 02:18
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-19 02:18
Bežigrad,Prosto,47,64,2025-03-19 02:34
Dolenjska cesta (Strelišče),Prosto,77,67,2025-03-19 02:34
Gosarjeva ulica,Prosto,46,190,2025-03-19 02:34
Gospodarsko razstavišče,Prosto,447,400,2025-03-19 02:34
Komanova ulica,Zasedeno,/,55,2025-03-19 02:34
PH Kongresni trg,Prosto,269,720,2025-03-19 02:34
Kozolec,Prosto,155,394,2025-03-19 02:34
Kranjčeva ulica,Prosto,108,117,2025-03-19 02:34
Linhartova,Prosto,114,50,2025-03-19 02:34
Metelkova ulica,Prosto,28,89,2025-03-19 02:34
Mirje,Prosto,83,107,2025-03-19 02:34
P+R Barje,Odprto,,,2025-03-19 02:34
P+R Dolgi Most,Odprto,,,2025-03-19 02:34
P+R Studenec,Odprto,,,2025-03-19 02:34
PH Kolezija,Prosto,71,80,2025-03-19 02:34
Pokopališče Polje,Prosto,30,39,2025-03-19 02:34
Povšetova ulica,Prosto,59,81,2025-03-19 02:34
Sanatorij Emona,Prosto,20,25,2025-03-19 02:34
Slovenčeva ulica,Zasedeno,0,128,2025-03-19 02:34
Tivoli I.,Prosto,350,351,2025-03-19 02:34
Tivoli II.,Prosto,173,159,2025-03-19 02:34
Trg mladinskih delovnih brigad,Prosto,19,26,2025-03-19 02:34
Trg prekomorskih brigad,Prosto,44,61,2025-03-19 02:34
Štembalova ulica,Zasedeno,/,155,2025-03-19 02:34
Žale I.,Prosto,78,125,2025-03-19 02:34
Žale II.,Prosto,53,80,2025-03-19 02:34
Žale III.,Prosto,54,83,2025-03-19 02:34
Žale IV.,Prosto,78,78,2025-03-19 02:34
Žale V.,Prosto,284,100,2025-03-19 02:34
P+R Ježica,Odprto,,,2025-03-19 02:34
P+R Stanežiče,Odprto,,,2025-03-19 02:34
ŠRC Stožice,Prosto,/,509,2025-03-19 02:34
Tacen,Prosto,/,/,2025-03-19 02:34
Bratislavska,Prosto,/,/,2025-03-19 02:34
BS4,Prosto,55,100,2025-03-19 02:34
