Location,Status,Prosto,Na voljo,Datum
ŠRC Stožice,Prosto,/,509,2025-04-14 13:00
Tacen,Prosto,/,/,2025-04-14 13:00
Bratislavska,Prosto,/,/,2025-04-14 13:00
BS4,Prosto,25,100,2025-04-14 13:00
PH Rog,Skoraj polno,1,80,2025-04-14 13:00
P+R Letališka,Odprto,,,2025-04-14 13:00
Parkirišče PH Ilirija,Odprto,,,2025-04-14 13:00
Bežigrad,Prosto,28,64,2025-04-14 13:14
Dolenjska cesta (Strelišče),Prosto,71,67,2025-04-14 13:14
Gosarjeva ulica,Skoraj polno,4,190,2025-04-14 13:14
Gospodarsko razstavišče,Zasedeno,0,400,2025-04-14 13:14
Komanova ulica,Zasedeno,/,55,2025-04-14 13:14
PH Kongresni trg,Skoraj polno,16,720,2025-04-14 13:14
Kozolec,Skoraj polno,27,394,2025-04-14 13:14
Kranjčeva ulica,Prosto,34,117,2025-04-14 13:14
Linhartova,Skoraj polno,6,50,2025-04-14 13:14
Metelkova ulica,Skoraj polno,5,89,2025-04-14 13:14
Mirje,Skoraj polno,4,107,2025-04-14 13:14
P+R Barje,Odprto,,,2025-04-14 13:14
P+R Dolgi Most,Odprto,,,2025-04-14 13:14
P+R Studenec,Odprto,,,2025-04-14 13:14
PH Kolezija,Prosto,50,80,2025-04-14 13:14
Pokopališče Polje,Prosto,32,39,2025-04-14 13:14
Povšetova ulica,Skoraj polno,14,81,2025-04-14 13:14
Sanatorij Emona,Skoraj polno,1,25,2025-04-14 13:14
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 13:14
Tivoli I.,Skoraj polno,46,351,2025-04-14 13:14
Tivoli II.,Prosto,56,159,2025-04-14 13:14
Trg mladinskih delovnih brigad,Skoraj polno,2,26,2025-04-14 13:14
Trg prekomorskih brigad,Skoraj polno,2,61,2025-04-14 13:14
Štembalova ulica,Zasedeno,/,155,2025-04-14 13:14
Žale I.,Prosto,66,125,2025-04-14 13:14
Žale II.,Prosto,33,80,2025-04-14 13:14
Žale III.,Prosto,19,83,2025-04-14 13:14
Žale IV.,Prosto,40,78,2025-04-14 13:14
Žale V.,Prosto,193,100,2025-04-14 13:14
P+R Ježica,Odprto,,,2025-04-14 13:14
P+R Stanežiče,Odprto,,,2025-04-14 13:14
ŠRC Stožice,Prosto,/,509,2025-04-14 13:14
Tacen,Prosto,/,/,2025-04-14 13:14
Bratislavska,Prosto,/,/,2025-04-14 13:14
BS4,Prosto,28,100,2025-04-14 13:14
PH Rog,Zasedeno,0,80,2025-04-14 13:14
P+R Letališka,Odprto,,,2025-04-14 13:14
Parkirišče PH Ilirija,Odprto,,,2025-04-14 13:14
Bežigrad,Prosto,22,64,2025-04-14 13:30
Dolenjska cesta (Strelišče),Prosto,69,67,2025-04-14 13:30
Gosarjeva ulica,Skoraj polno,5,190,2025-04-14 13:30
Gospodarsko razstavišče,Zasedeno,0,400,2025-04-14 13:30
Komanova ulica,Zasedeno,/,55,2025-04-14 13:30
PH Kongresni trg,Skoraj polno,23,720,2025-04-14 13:30
Kozolec,Skoraj polno,33,394,2025-04-14 13:30
Kranjčeva ulica,Prosto,32,117,2025-04-14 13:30
Linhartova,Skoraj polno,4,50,2025-04-14 13:30
Metelkova ulica,Zasedeno,0,89,2025-04-14 13:30
Mirje,Skoraj polno,2,107,2025-04-14 13:30
P+R Barje,Odprto,,,2025-04-14 13:30
P+R Dolgi Most,Odprto,,,2025-04-14 13:30
P+R Studenec,Odprto,,,2025-04-14 13:30
PH Kolezija,Prosto,50,80,2025-04-14 13:30
Pokopališče Polje,Prosto,34,39,2025-04-14 13:30
Povšetova ulica,Prosto,17,81,2025-04-14 13:30
Sanatorij Emona,Skoraj polno,2,25,2025-04-14 13:30
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 13:30
Tivoli I.,Skoraj polno,57,351,2025-04-14 13:30
Tivoli II.,Prosto,60,159,2025-04-14 13:30
Trg mladinskih delovnih brigad,Skoraj polno,4,26,2025-04-14 13:30
Trg prekomorskih brigad,Skoraj polno,8,61,2025-04-14 13:30
Štembalova ulica,Zasedeno,/,155,2025-04-14 13:30
Žale I.,Prosto,57,125,2025-04-14 13:30
Žale II.,Prosto,34,80,2025-04-14 13:30
Žale III.,Prosto,18,83,2025-04-14 13:30
Žale IV.,Prosto,41,78,2025-04-14 13:30
Žale V.,Prosto,188,100,2025-04-14 13:30
P+R Ježica,Odprto,,,2025-04-14 13:30
P+R Stanežiče,Odprto,,,2025-04-14 13:30
ŠRC Stožice,Prosto,/,509,2025-04-14 13:30
Tacen,Prosto,/,/,2025-04-14 13:30
Bratislavska,Prosto,/,/,2025-04-14 13:30
BS4,Prosto,31,100,2025-04-14 13:30
PH Rog,Zasedeno,0,80,2025-04-14 13:30
P+R Letališka,Odprto,,,2025-04-14 13:30
Parkirišče PH Ilirija,Odprto,,,2025-04-14 13:30
Bežigrad,Prosto,23,64,2025-04-14 13:44
Dolenjska cesta (Strelišče),Prosto,70,67,2025-04-14 13:44
Gosarjeva ulica,Skoraj polno,2,190,2025-04-14 13:44
Gospodarsko razstavišče,Zasedeno,0,400,2025-04-14 13:44
Komanova ulica,Zasedeno,/,55,2025-04-14 13:44
PH Kongresni trg,Skoraj polno,18,720,2025-04-14 13:44
Kozolec,Skoraj polno,33,394,2025-04-14 13:44
Kranjčeva ulica,Prosto,30,117,2025-04-14 13:44
Linhartova,Skoraj polno,4,50,2025-04-14 13:44
Metelkova ulica,Zasedeno,0,89,2025-04-14 13:44
Mirje,Skoraj polno,3,107,2025-04-14 13:44
P+R Barje,Odprto,,,2025-04-14 13:44
P+R Dolgi Most,Odprto,,,2025-04-14 13:44
P+R Studenec,Odprto,,,2025-04-14 13:44
PH Kolezija,Prosto,48,80,2025-04-14 13:44
Pokopališče Polje,Prosto,34,39,2025-04-14 13:44
Povšetova ulica,Prosto,18,81,2025-04-14 13:44
Sanatorij Emona,Skoraj polno,1,25,2025-04-14 13:44
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 13:44
Tivoli I.,Skoraj polno,67,351,2025-04-14 13:44
Tivoli II.,Prosto,62,159,2025-04-14 13:44
Trg mladinskih delovnih brigad,Skoraj polno,4,26,2025-04-14 13:44
Trg prekomorskih brigad,Skoraj polno,7,61,2025-04-14 13:44
Štembalova ulica,Zasedeno,/,155,2025-04-14 13:44
Žale I.,Prosto,50,125,2025-04-14 13:44
Žale II.,Prosto,32,80,2025-04-14 13:44
Žale III.,Skoraj polno,14,83,2025-04-14 13:44
Žale IV.,Prosto,41,78,2025-04-14 13:44
Žale V.,Prosto,188,100,2025-04-14 13:44
P+R Ježica,Odprto,,,2025-04-14 13:44
P+R Stanežiče,Odprto,,,2025-04-14 13:44
ŠRC Stožice,Prosto,/,509,2025-04-14 13:44
Tacen,Prosto,/,/,2025-04-14 13:44
Bratislavska,Prosto,/,/,2025-04-14 13:44
BS4,Prosto,29,100,2025-04-14 13:44
PH Rog,Skoraj polno,1,80,2025-04-14 13:44
P+R Letališka,Odprto,,,2025-04-14 13:44
Parkirišče PH Ilirija,Odprto,,,2025-04-14 13:44
Bežigrad,Prosto,23,64,2025-04-14 14:00
Dolenjska cesta (Strelišče),Prosto,70,67,2025-04-14 14:00
Gosarjeva ulica,Skoraj polno,7,190,2025-04-14 14:00
Gospodarsko razstavišče,Zasedeno,0,400,2025-04-14 14:00
Komanova ulica,Zasedeno,/,55,2025-04-14 14:00
PH Kongresni trg,Skoraj polno,9,720,2025-04-14 14:00
Kozolec,Skoraj polno,28,394,2025-04-14 14:00
Kranjčeva ulica,Prosto,28,117,2025-04-14 14:00
Linhartova,Skoraj polno,9,50,2025-04-14 14:00
Metelkova ulica,Skoraj polno,2,89,2025-04-14 14:00
Mirje,Zasedeno,0,107,2025-04-14 14:00
P+R Barje,Odprto,,,2025-04-14 14:00
P+R Dolgi Most,Odprto,,,2025-04-14 14:00
P+R Studenec,Odprto,,,2025-04-14 14:00
PH Kolezija,Prosto,48,80,2025-04-14 14:00
Pokopališče Polje,Prosto,31,39,2025-04-14 14:00
Povšetova ulica,Prosto,18,81,2025-04-14 14:00
Sanatorij Emona,Zasedeno,0,25,2025-04-14 14:00
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 14:00
Tivoli I.,Prosto,74,351,2025-04-14 14:00
Tivoli II.,Prosto,68,159,2025-04-14 14:00
Trg mladinskih delovnih brigad,Skoraj polno,4,26,2025-04-14 14:00
Trg prekomorskih brigad,Skoraj polno,1,61,2025-04-14 14:00
Štembalova ulica,Zasedeno,/,155,2025-04-14 14:00
Žale I.,Prosto,58,125,2025-04-14 14:00
Žale II.,Prosto,29,80,2025-04-14 14:00
Žale III.,Skoraj polno,14,83,2025-04-14 14:00
Žale IV.,Prosto,41,78,2025-04-14 14:00
Žale V.,Prosto,186,100,2025-04-14 14:00
P+R Ježica,Odprto,,,2025-04-14 14:00
P+R Stanežiče,Odprto,,,2025-04-14 14:00
ŠRC Stožice,Prosto,/,509,2025-04-14 14:00
Tacen,Prosto,/,/,2025-04-14 14:00
Bratislavska,Prosto,/,/,2025-04-14 14:00
BS4,Prosto,32,100,2025-04-14 14:00
PH Rog,Skoraj polno,2,80,2025-04-14 14:00
P+R Letališka,Odprto,,,2025-04-14 14:00
Parkirišče PH Ilirija,Odprto,,,2025-04-14 14:00
Bežigrad,Prosto,24,64,2025-04-14 14:14
Dolenjska cesta (Strelišče),Prosto,70,67,2025-04-14 14:14
Gosarjeva ulica,Skoraj polno,8,190,2025-04-14 14:14
Gospodarsko razstavišče,Zasedeno,0,400,2025-04-14 14:14
Komanova ulica,Zasedeno,/,55,2025-04-14 14:14
PH Kongresni trg,Skoraj polno,10,720,2025-04-14 14:14
Kozolec,Skoraj polno,26,394,2025-04-14 14:14
Kranjčeva ulica,Prosto,31,117,2025-04-14 14:14
Linhartova,Prosto,15,50,2025-04-14 14:14
Metelkova ulica,Skoraj polno,1,89,2025-04-14 14:14
Mirje,Skoraj polno,2,107,2025-04-14 14:14
P+R Barje,Odprto,,,2025-04-14 14:14
P+R Dolgi Most,Odprto,,,2025-04-14 14:14
P+R Studenec,Odprto,,,2025-04-14 14:14
PH Kolezija,Prosto,48,80,2025-04-14 14:14
Pokopališče Polje,Prosto,32,39,2025-04-14 14:14
Povšetova ulica,Prosto,19,81,2025-04-14 14:14
Sanatorij Emona,Skoraj polno,2,25,2025-04-14 14:14
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 14:14
Tivoli I.,Prosto,74,351,2025-04-14 14:14
Tivoli II.,Prosto,73,159,2025-04-14 14:14
Trg mladinskih delovnih brigad,Skoraj polno,4,26,2025-04-14 14:14
Trg prekomorskih brigad,Skoraj polno,5,61,2025-04-14 14:14
Štembalova ulica,Zasedeno,/,155,2025-04-14 14:14
Žale I.,Prosto,61,125,2025-04-14 14:14
Žale II.,Prosto,29,80,2025-04-14 14:14
Žale III.,Skoraj polno,12,83,2025-04-14 14:14
Žale IV.,Prosto,41,78,2025-04-14 14:14
Žale V.,Prosto,190,100,2025-04-14 14:14
P+R Ježica,Odprto,,,2025-04-14 14:14
P+R Stanežiče,Odprto,,,2025-04-14 14:14
ŠRC Stožice,Prosto,/,509,2025-04-14 14:14
Tacen,Prosto,/,/,2025-04-14 14:14
Bratislavska,Prosto,/,/,2025-04-14 14:14
BS4,Prosto,35,100,2025-04-14 14:14
PH Rog,Skoraj polno,6,80,2025-04-14 14:14
P+R Letališka,Odprto,,,2025-04-14 14:14
Parkirišče PH Ilirija,Odprto,,,2025-04-14 14:14
Bežigrad,Prosto,21,64,2025-04-14 14:30
Dolenjska cesta (Strelišče),Prosto,68,67,2025-04-14 14:30
Gosarjeva ulica,Skoraj polno,10,190,2025-04-14 14:30
Gospodarsko razstavišče,Zasedeno,0,400,2025-04-14 14:30
Komanova ulica,Zasedeno,/,55,2025-04-14 14:30
PH Kongresni trg,Skoraj polno,22,720,2025-04-14 14:30
Kozolec,Skoraj polno,38,394,2025-04-14 14:30
Kranjčeva ulica,Prosto,36,117,2025-04-14 14:30
Linhartova,Prosto,16,50,2025-04-14 14:30
Metelkova ulica,Skoraj polno,7,89,2025-04-14 14:30
Mirje,Zasedeno,0,107,2025-04-14 14:30
P+R Barje,Odprto,,,2025-04-14 14:30
P+R Dolgi Most,Odprto,,,2025-04-14 14:30
P+R Studenec,Odprto,,,2025-04-14 14:30
PH Kolezija,Prosto,48,80,2025-04-14 14:30
Pokopališče Polje,Prosto,32,39,2025-04-14 14:30
Povšetova ulica,Prosto,22,81,2025-04-14 14:30
Sanatorij Emona,Zasedeno,0,25,2025-04-14 14:30
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 14:30
Tivoli I.,Prosto,73,351,2025-04-14 14:30
Tivoli II.,Prosto,79,159,2025-04-14 14:30
Trg mladinskih delovnih brigad,Skoraj polno,3,26,2025-04-14 14:30
Trg prekomorskih brigad,Skoraj polno,8,61,2025-04-14 14:30
Štembalova ulica,Zasedeno,/,155,2025-04-14 14:30
Žale I.,Prosto,60,125,2025-04-14 14:30
Žale II.,Prosto,31,80,2025-04-14 14:30
Žale III.,Skoraj polno,12,83,2025-04-14 14:30
Žale IV.,Prosto,42,78,2025-04-14 14:30
Žale V.,Prosto,185,100,2025-04-14 14:30
P+R Ježica,Odprto,,,2025-04-14 14:30
P+R Stanežiče,Odprto,,,2025-04-14 14:30
ŠRC Stožice,Prosto,/,509,2025-04-14 14:30
Tacen,Prosto,/,/,2025-04-14 14:30
Bratislavska,Prosto,/,/,2025-04-14 14:30
BS4,Prosto,29,100,2025-04-14 14:30
PH Rog,Skoraj polno,11,80,2025-04-14 14:30
P+R Letališka,Odprto,,,2025-04-14 14:30
Parkirišče PH Ilirija,Odprto,,,2025-04-14 14:30
Bežigrad,Prosto,19,64,2025-04-14 14:44
Dolenjska cesta (Strelišče),Prosto,67,67,2025-04-14 14:44
Gosarjeva ulica,Skoraj polno,11,190,2025-04-14 14:44
Gospodarsko razstavišče,Zasedeno,0,400,2025-04-14 14:44
Komanova ulica,Zasedeno,/,55,2025-04-14 14:44
PH Kongresni trg,Skoraj polno,22,720,2025-04-14 14:44
Kozolec,Skoraj polno,42,394,2025-04-14 14:44
Kranjčeva ulica,Prosto,38,117,2025-04-14 14:44
Linhartova,Prosto,40,50,2025-04-14 14:44
Metelkova ulica,Skoraj polno,10,89,2025-04-14 14:44
Mirje,Zasedeno,0,107,2025-04-14 14:44
P+R Barje,Odprto,,,2025-04-14 14:44
P+R Dolgi Most,Odprto,,,2025-04-14 14:44
P+R Studenec,Odprto,,,2025-04-14 14:44
PH Kolezija,Prosto,48,80,2025-04-14 14:44
Pokopališče Polje,Prosto,32,39,2025-04-14 14:44
Povšetova ulica,Prosto,30,81,2025-04-14 14:44
Sanatorij Emona,Zasedeno,0,25,2025-04-14 14:44
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 14:44
Tivoli I.,Skoraj polno,70,351,2025-04-14 14:44
Tivoli II.,Prosto,78,159,2025-04-14 14:44
Trg mladinskih delovnih brigad,Prosto,6,26,2025-04-14 14:44
Trg prekomorskih brigad,Skoraj polno,9,61,2025-04-14 14:44
Štembalova ulica,Zasedeno,/,155,2025-04-14 14:44
Žale I.,Prosto,63,125,2025-04-14 14:44
Žale II.,Prosto,35,80,2025-04-14 14:44
Žale III.,Skoraj polno,15,83,2025-04-14 14:44
Žale IV.,Prosto,44,78,2025-04-14 14:44
Žale V.,Prosto,178,100,2025-04-14 14:44
P+R Ježica,Odprto,,,2025-04-14 14:44
P+R Stanežiče,Odprto,,,2025-04-14 14:44
ŠRC Stožice,Prosto,/,509,2025-04-14 14:44
Tacen,Prosto,/,/,2025-04-14 14:44
Bratislavska,Prosto,/,/,2025-04-14 14:44
BS4,Prosto,23,100,2025-04-14 14:44
PH Rog,Skoraj polno,15,80,2025-04-14 14:44
P+R Letališka,Odprto,,,2025-04-14 14:44
Parkirišče PH Ilirija,Odprto,,,2025-04-14 14:44
Bežigrad,Prosto,20,64,2025-04-14 15:00
Dolenjska cesta (Strelišče),Prosto,69,67,2025-04-14 15:00
Gosarjeva ulica,Skoraj polno,10,190,2025-04-14 15:00
Gospodarsko razstavišče,Skoraj polno,9,400,2025-04-14 15:00
Komanova ulica,Zasedeno,/,55,2025-04-14 15:00
PH Kongresni trg,Skoraj polno,12,720,2025-04-14 15:00
Kozolec,Skoraj polno,43,394,2025-04-14 15:00
Kranjčeva ulica,Prosto,42,117,2025-04-14 15:00
Linhartova,Prosto,64,50,2025-04-14 15:00
Metelkova ulica,Skoraj polno,9,89,2025-04-14 15:00
Mirje,Skoraj polno,5,107,2025-04-14 15:00
P+R Barje,Odprto,,,2025-04-14 15:00
P+R Dolgi Most,Odprto,,,2025-04-14 15:00
P+R Studenec,Odprto,,,2025-04-14 15:00
PH Kolezija,Prosto,50,80,2025-04-14 15:00
Pokopališče Polje,Prosto,25,39,2025-04-14 15:00
Povšetova ulica,Prosto,31,81,2025-04-14 15:00
Sanatorij Emona,Zasedeno,0,25,2025-04-14 15:00
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 15:00
Tivoli I.,Skoraj polno,58,351,2025-04-14 15:00
Tivoli II.,Prosto,90,159,2025-04-14 15:00
Trg mladinskih delovnih brigad,Skoraj polno,5,26,2025-04-14 15:00
Trg prekomorskih brigad,Skoraj polno,6,61,2025-04-14 15:00
Štembalova ulica,Zasedeno,/,155,2025-04-14 15:00
Žale I.,Prosto,66,125,2025-04-14 15:00
Žale II.,Prosto,36,80,2025-04-14 15:00
Žale III.,Skoraj polno,16,83,2025-04-14 15:00
Žale IV.,Prosto,46,78,2025-04-14 15:00
Žale V.,Prosto,179,100,2025-04-14 15:00
P+R Ježica,Odprto,,,2025-04-14 15:00
P+R Stanežiče,Odprto,,,2025-04-14 15:00
ŠRC Stožice,Prosto,/,509,2025-04-14 15:00
Tacen,Prosto,/,/,2025-04-14 15:00
Bratislavska,Prosto,/,/,2025-04-14 15:00
BS4,Prosto,21,100,2025-04-14 15:00
PH Rog,Prosto,18,80,2025-04-14 15:00
P+R Letališka,Odprto,,,2025-04-14 15:00
Parkirišče PH Ilirija,Odprto,,,2025-04-14 15:00
Bežigrad,Prosto,25,64,2025-04-14 15:14
Dolenjska cesta (Strelišče),Prosto,69,67,2025-04-14 15:14
Gosarjeva ulica,Skoraj polno,12,190,2025-04-14 15:14
Gospodarsko razstavišče,Skoraj polno,49,400,2025-04-14 15:14
Komanova ulica,Zasedeno,/,55,2025-04-14 15:14
PH Kongresni trg,Skoraj polno,31,720,2025-04-14 15:14
Kozolec,Skoraj polno,45,394,2025-04-14 15:14
Kranjčeva ulica,Prosto,50,117,2025-04-14 15:14
Linhartova,Prosto,84,50,2025-04-14 15:14
Metelkova ulica,Skoraj polno,9,89,2025-04-14 15:14
Mirje,Skoraj polno,15,107,2025-04-14 15:14
P+R Barje,Odprto,,,2025-04-14 15:14
P+R Dolgi Most,Odprto,,,2025-04-14 15:14
P+R Studenec,Odprto,,,2025-04-14 15:14
PH Kolezija,Prosto,51,80,2025-04-14 15:14
Pokopališče Polje,Prosto,26,39,2025-04-14 15:14
Povšetova ulica,Prosto,38,81,2025-04-14 15:14
Sanatorij Emona,Skoraj polno,1,25,2025-04-14 15:14
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 15:14
Tivoli I.,Prosto,76,351,2025-04-14 15:14
Tivoli II.,Prosto,95,159,2025-04-14 15:14
Trg mladinskih delovnih brigad,Skoraj polno,4,26,2025-04-14 15:14
Trg prekomorskih brigad,Skoraj polno,9,61,2025-04-14 15:14
Štembalova ulica,Zasedeno,/,155,2025-04-14 15:14
Žale I.,Prosto,69,125,2025-04-14 15:14
Žale II.,Prosto,37,80,2025-04-14 15:14
Žale III.,Prosto,27,83,2025-04-14 15:14
Žale IV.,Prosto,53,78,2025-04-14 15:14
Žale V.,Prosto,184,100,2025-04-14 15:14
P+R Ježica,Odprto,,,2025-04-14 15:14
P+R Stanežiče,Odprto,,,2025-04-14 15:14
ŠRC Stožice,Prosto,/,509,2025-04-14 15:14
Tacen,Prosto,/,/,2025-04-14 15:14
Bratislavska,Prosto,/,/,2025-04-14 15:14
BS4,Prosto,27,100,2025-04-14 15:14
PH Rog,Prosto,19,80,2025-04-14 15:14
P+R Letališka,Odprto,,,2025-04-14 15:14
Parkirišče PH Ilirija,Odprto,,,2025-04-14 15:14
Bežigrad,Prosto,29,64,2025-04-14 15:30
Dolenjska cesta (Strelišče),Prosto,67,67,2025-04-14 15:30
Gosarjeva ulica,Skoraj polno,11,190,2025-04-14 15:30
Gospodarsko razstavišče,Prosto,117,400,2025-04-14 15:30
Komanova ulica,Zasedeno,/,55,2025-04-14 15:30
PH Kongresni trg,Skoraj polno,48,720,2025-04-14 15:30
Kozolec,Skoraj polno,47,394,2025-04-14 15:30
Kranjčeva ulica,Prosto,63,117,2025-04-14 15:30
Linhartova,Prosto,91,50,2025-04-14 15:30
Metelkova ulica,Skoraj polno,9,89,2025-04-14 15:30
Mirje,Prosto,23,107,2025-04-14 15:30
P+R Barje,Odprto,,,2025-04-14 15:30
P+R Dolgi Most,Odprto,,,2025-04-14 15:30
P+R Studenec,Odprto,,,2025-04-14 15:30
PH Kolezija,Prosto,51,80,2025-04-14 15:30
Pokopališče Polje,Prosto,16,39,2025-04-14 15:30
Povšetova ulica,Prosto,41,81,2025-04-14 15:30
Sanatorij Emona,Skoraj polno,1,25,2025-04-14 15:30
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 15:30
Tivoli I.,Prosto,82,351,2025-04-14 15:30
Tivoli II.,Prosto,105,159,2025-04-14 15:30
Trg mladinskih delovnih brigad,Zasedeno,0,26,2025-04-14 15:30
Trg prekomorskih brigad,Prosto,16,61,2025-04-14 15:30
Štembalova ulica,Zasedeno,/,155,2025-04-14 15:30
Žale I.,Prosto,77,125,2025-04-14 15:30
Žale II.,Prosto,43,80,2025-04-14 15:30
Žale III.,Prosto,36,83,2025-04-14 15:30
Žale IV.,Prosto,59,78,2025-04-14 15:30
Žale V.,Prosto,182,100,2025-04-14 15:30
P+R Ježica,Odprto,,,2025-04-14 15:30
P+R Stanežiče,Odprto,,,2025-04-14 15:30
ŠRC Stožice,Prosto,/,509,2025-04-14 15:30
Tacen,Prosto,/,/,2025-04-14 15:30
Bratislavska,Prosto,/,/,2025-04-14 15:30
BS4,Prosto,30,100,2025-04-14 15:30
PH Rog,Prosto,19,80,2025-04-14 15:30
P+R Letališka,Odprto,,,2025-04-14 15:30
Parkirišče PH Ilirija,Odprto,,,2025-04-14 15:30
Bežigrad,Prosto,29,64,2025-04-14 15:44
Dolenjska cesta (Strelišče),Prosto,66,67,2025-04-14 15:44
Gosarjeva ulica,Skoraj polno,12,190,2025-04-14 15:44
Gospodarsko razstavišče,Prosto,157,400,2025-04-14 15:44
Komanova ulica,Zasedeno,/,55,2025-04-14 15:44
PH Kongresni trg,Skoraj polno,49,720,2025-04-14 15:44
Kozolec,Skoraj polno,53,394,2025-04-14 15:44
Kranjčeva ulica,Prosto,72,117,2025-04-14 15:44
Linhartova,Prosto,98,50,2025-04-14 15:44
Metelkova ulica,Skoraj polno,12,89,2025-04-14 15:44
Mirje,Prosto,22,107,2025-04-14 15:44
P+R Barje,Odprto,,,2025-04-14 15:44
P+R Dolgi Most,Odprto,,,2025-04-14 15:44
P+R Studenec,Odprto,,,2025-04-14 15:44
PH Kolezija,Prosto,51,80,2025-04-14 15:44
Pokopališče Polje,Prosto,17,39,2025-04-14 15:44
Povšetova ulica,Prosto,41,81,2025-04-14 15:44
Sanatorij Emona,Zasedeno,0,25,2025-04-14 15:44
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 15:44
Tivoli I.,Prosto,97,351,2025-04-14 15:44
Tivoli II.,Prosto,113,159,2025-04-14 15:44
Trg mladinskih delovnih brigad,Skoraj polno,1,26,2025-04-14 15:44
Trg prekomorskih brigad,Skoraj polno,12,61,2025-04-14 15:44
Štembalova ulica,Zasedeno,/,155,2025-04-14 15:44
Žale I.,Prosto,75,125,2025-04-14 15:44
Žale II.,Prosto,47,80,2025-04-14 15:44
Žale III.,Prosto,39,83,2025-04-14 15:44
Žale IV.,Prosto,62,78,2025-04-14 15:44
Žale V.,Prosto,184,100,2025-04-14 15:44
P+R Ježica,Odprto,,,2025-04-14 15:44
P+R Stanežiče,Odprto,,,2025-04-14 15:44
ŠRC Stožice,Prosto,/,509,2025-04-14 15:44
Tacen,Prosto,/,/,2025-04-14 15:44
Bratislavska,Prosto,/,/,2025-04-14 15:44
BS4,Prosto,29,100,2025-04-14 15:44
PH Rog,Prosto,17,80,2025-04-14 15:44
P+R Letališka,Odprto,,,2025-04-14 15:44
Parkirišče PH Ilirija,Odprto,,,2025-04-14 15:44
Bežigrad,Prosto,29,64,2025-04-14 16:00
Dolenjska cesta (Strelišče),Prosto,65,67,2025-04-14 16:00
Gosarjeva ulica,Skoraj polno,5,190,2025-04-14 16:00
Gospodarsko razstavišče,Prosto,204,400,2025-04-14 16:00
Komanova ulica,Zasedeno,/,55,2025-04-14 16:00
PH Kongresni trg,Skoraj polno,70,720,2025-04-14 16:00
Kozolec,Skoraj polno,52,394,2025-04-14 16:00
Kranjčeva ulica,Prosto,77,117,2025-04-14 16:00
Linhartova,Prosto,104,50,2025-04-14 16:00
Metelkova ulica,Skoraj polno,10,89,2025-04-14 16:00
Mirje,Prosto,27,107,2025-04-14 16:00
P+R Barje,Odprto,,,2025-04-14 16:00
P+R Dolgi Most,Odprto,,,2025-04-14 16:00
P+R Studenec,Odprto,,,2025-04-14 16:00
PH Kolezija,Prosto,52,80,2025-04-14 16:00
Pokopališče Polje,Prosto,16,39,2025-04-14 16:00
Povšetova ulica,Prosto,42,81,2025-04-14 16:00
Sanatorij Emona,Zasedeno,0,25,2025-04-14 16:00
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 16:00
Tivoli I.,Prosto,102,351,2025-04-14 16:00
Tivoli II.,Prosto,111,159,2025-04-14 16:00
Trg mladinskih delovnih brigad,Zasedeno,0,26,2025-04-14 16:00
Trg prekomorskih brigad,Skoraj polno,12,61,2025-04-14 16:00
Štembalova ulica,Zasedeno,/,155,2025-04-14 16:00
Žale I.,Prosto,77,125,2025-04-14 16:00
Žale II.,Prosto,50,80,2025-04-14 16:00
Žale III.,Prosto,40,83,2025-04-14 16:00
Žale IV.,Prosto,62,78,2025-04-14 16:00
Žale V.,Prosto,227,100,2025-04-14 16:00
P+R Ježica,Odprto,,,2025-04-14 16:00
P+R Stanežiče,Odprto,,,2025-04-14 16:00
ŠRC Stožice,Prosto,/,509,2025-04-14 16:00
Tacen,Prosto,/,/,2025-04-14 16:00
Bratislavska,Prosto,/,/,2025-04-14 16:00
BS4,Prosto,21,100,2025-04-14 16:00
PH Rog,Prosto,18,80,2025-04-14 16:00
P+R Letališka,Odprto,,,2025-04-14 16:00
Parkirišče PH Ilirija,Odprto,,,2025-04-14 16:00
Bežigrad,Prosto,32,64,2025-04-14 16:14
Dolenjska cesta (Strelišče),Prosto,61,67,2025-04-14 16:14
Gosarjeva ulica,Zasedeno,0,190,2025-04-14 16:14
Gospodarsko razstavišče,Prosto,229,400,2025-04-14 16:14
Komanova ulica,Zasedeno,/,55,2025-04-14 16:14
PH Kongresni trg,Skoraj polno,71,720,2025-04-14 16:14
Kozolec,Skoraj polno,57,394,2025-04-14 16:14
Kranjčeva ulica,Prosto,86,117,2025-04-14 16:14
Linhartova,Prosto,104,50,2025-04-14 16:14
Metelkova ulica,Skoraj polno,11,89,2025-04-14 16:14
Mirje,Prosto,35,107,2025-04-14 16:14
P+R Barje,Odprto,,,2025-04-14 16:14
P+R Dolgi Most,Odprto,,,2025-04-14 16:14
P+R Studenec,Odprto,,,2025-04-14 16:14
