Location,Status,Prosto,Na voljo,Datum
Tivoli II.,Prosto,158,159,2025-04-14 01:14
Trg mladinskih delovnih brigad,Prosto,16,26,2025-04-14 01:14
Trg prekomorskih brigad,Prosto,39,61,2025-04-14 01:14
Štembalova ulica,Zasedeno,/,155,2025-04-14 01:14
Žale I.,Prosto,103,125,2025-04-14 01:14
Žale II.,Prosto,69,80,2025-04-14 01:14
Žale III.,Prosto,55,83,2025-04-14 01:14
Žale IV.,Prosto,77,78,2025-04-14 01:14
Žale V.,Prosto,284,100,2025-04-14 01:14
P+R Ježica,Odprto,,,2025-04-14 01:14
P+R Stanežiče,Odprto,,,2025-04-14 01:14
ŠRC Stožice,Prosto,/,509,2025-04-14 01:14
Tacen,Prosto,/,/,2025-04-14 01:14
Bratislavska,Prosto,/,/,2025-04-14 01:14
BS4,Prosto,53,100,2025-04-14 01:14
PH Rog,Prosto,28,80,2025-04-14 01:14
P+R Letališka,Odprto,,,2025-04-14 01:14
Parkirišče PH Ilirija,Odprto,,,2025-04-14 01:14
Bežigrad,Prosto,54,64,2025-04-14 01:28
Dolenjska cesta (Strelišče),Prosto,46,67,2025-04-14 01:28
Gosarjeva ulica,Skoraj polno,37,190,2025-04-14 01:28
Gospodarsko razstavišče,Prosto,431,400,2025-04-14 01:28
Komanova ulica,Zasedeno,/,55,2025-04-14 01:28
PH Kongresni trg,Prosto,246,720,2025-04-14 01:28
Kozolec,Prosto,99,394,2025-04-14 01:28
Kranjčeva ulica,Prosto,117,117,2025-04-14 01:28
Linhartova,Prosto,110,50,2025-04-14 01:28
Metelkova ulica,Prosto,29,89,2025-04-14 01:28
Mirje,Prosto,85,107,2025-04-14 01:28
P+R Barje,Odprto,,,2025-04-14 01:28
P+R Dolgi Most,Odprto,,,2025-04-14 01:28
P+R Studenec,Odprto,,,2025-04-14 01:28
PH Kolezija,Prosto,62,80,2025-04-14 01:28
Pokopališče Polje,Prosto,38,39,2025-04-14 01:28
Povšetova ulica,Prosto,73,81,2025-04-14 01:28
Sanatorij Emona,Prosto,10,25,2025-04-14 01:28
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 01:28
Tivoli I.,Prosto,331,351,2025-04-14 01:28
Tivoli II.,Prosto,158,159,2025-04-14 01:28
Trg mladinskih delovnih brigad,Prosto,16,26,2025-04-14 01:28
Trg prekomorskih brigad,Prosto,39,61,2025-04-14 01:28
Štembalova ulica,Zasedeno,/,155,2025-04-14 01:28
Žale I.,Prosto,103,125,2025-04-14 01:28
Žale II.,Prosto,69,80,2025-04-14 01:28
Žale III.,Prosto,55,83,2025-04-14 01:28
Žale IV.,Prosto,77,78,2025-04-14 01:28
Žale V.,Prosto,284,100,2025-04-14 01:28
P+R Ježica,Odprto,,,2025-04-14 01:28
P+R Stanežiče,Odprto,,,2025-04-14 01:28
ŠRC Stožice,Prosto,/,509,2025-04-14 01:28
Tacen,Prosto,/,/,2025-04-14 01:28
Bratislavska,Prosto,/,/,2025-04-14 01:28
BS4,Prosto,53,100,2025-04-14 01:28
PH Rog,Prosto,28,80,2025-04-14 01:28
P+R Letališka,Odprto,,,2025-04-14 01:28
Parkirišče PH Ilirija,Odprto,,,2025-04-14 01:28
Bežigrad,Prosto,54,64,2025-04-14 01:44
Dolenjska cesta (Strelišče),Prosto,46,67,2025-04-14 01:44
Gosarjeva ulica,Skoraj polno,37,190,2025-04-14 01:44
Gospodarsko razstavišče,Prosto,432,400,2025-04-14 01:44
Komanova ulica,Zasedeno,/,55,2025-04-14 01:44
PH Kongresni trg,Prosto,246,720,2025-04-14 01:44
Kozolec,Prosto,99,394,2025-04-14 01:44
Kranjčeva ulica,Prosto,117,117,2025-04-14 01:44
Linhartova,Prosto,110,50,2025-04-14 01:44
Metelkova ulica,Prosto,29,89,2025-04-14 01:44
Mirje,Prosto,85,107,2025-04-14 01:44
P+R Barje,Odprto,,,2025-04-14 01:44
P+R Dolgi Most,Odprto,,,2025-04-14 01:44
P+R Studenec,Odprto,,,2025-04-14 01:44
PH Kolezija,Prosto,62,80,2025-04-14 01:44
Pokopališče Polje,Prosto,38,39,2025-04-14 01:44
Povšetova ulica,Prosto,73,81,2025-04-14 01:44
Sanatorij Emona,Prosto,9,25,2025-04-14 01:44
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 01:44
Tivoli I.,Prosto,331,351,2025-04-14 01:44
Tivoli II.,Prosto,158,159,2025-04-14 01:44
Trg mladinskih delovnih brigad,Prosto,16,26,2025-04-14 01:44
Trg prekomorskih brigad,Prosto,39,61,2025-04-14 01:44
Štembalova ulica,Zasedeno,/,155,2025-04-14 01:44
Žale I.,Prosto,103,125,2025-04-14 01:44
Žale II.,Prosto,69,80,2025-04-14 01:44
Žale III.,Prosto,55,83,2025-04-14 01:44
Žale IV.,Prosto,77,78,2025-04-14 01:44
Žale V.,Prosto,284,100,2025-04-14 01:44
P+R Ježica,Odprto,,,2025-04-14 01:44
P+R Stanežiče,Odprto,,,2025-04-14 01:44
ŠRC Stožice,Prosto,/,509,2025-04-14 01:44
Tacen,Prosto,/,/,2025-04-14 01:44
Bratislavska,Prosto,/,/,2025-04-14 01:44
BS4,Prosto,53,100,2025-04-14 01:44
PH Rog,Prosto,28,80,2025-04-14 01:44
P+R Letališka,Odprto,,,2025-04-14 01:44
Parkirišče PH Ilirija,Odprto,,,2025-04-14 01:44
Bežigrad,Prosto,54,64,2025-04-14 01:58
Dolenjska cesta (Strelišče),Prosto,46,67,2025-04-14 01:58
Gosarjeva ulica,Skoraj polno,37,190,2025-04-14 01:58
Gospodarsko razstavišče,Prosto,431,400,2025-04-14 01:58
Komanova ulica,Zasedeno,/,55,2025-04-14 01:58
PH Kongresni trg,Prosto,246,720,2025-04-14 01:58
Kozolec,Prosto,99,394,2025-04-14 01:58
Kranjčeva ulica,Prosto,117,117,2025-04-14 01:58
Linhartova,Prosto,110,50,2025-04-14 01:58
Metelkova ulica,Prosto,29,89,2025-04-14 01:58
Mirje,Prosto,85,107,2025-04-14 01:58
P+R Barje,Odprto,,,2025-04-14 01:58
P+R Dolgi Most,Odprto,,,2025-04-14 01:58
P+R Studenec,Odprto,,,2025-04-14 01:58
PH Kolezija,Prosto,62,80,2025-04-14 01:58
Pokopališče Polje,Prosto,38,39,2025-04-14 01:58
Povšetova ulica,Prosto,73,81,2025-04-14 01:58
Sanatorij Emona,Prosto,9,25,2025-04-14 01:58
